Cornbread Cakes | 8 | 6 | 4 | 25 m | 1 cup self-rising cornmeal; ; ;  | ;  | Home; Recipes; Breakfast and Brunch; Pancakes
Carne Asada Breakfast Fries | 12 | 3 | 5 | 1 h 15 m | 1 (1 pound) beef skirt steak; 2 tablespoons carne asada seasoning; 1 (32 ounce) package frozen steak fries; 1 (14.5 ounce) can Hunt's® Diced Tomatoes; 1/2 cup diced onions; 4 tablespoons chopped fresh cilantro; 1/2 teaspoon crushed red pepper flakes, or to taste; 4 eggs; 1/2 cup shredded Mexican cheese blend; 3/4 cup prepared guacamole | Season both sides of skirt steak with carne asada seasoning. Refrigerate at least 30 minutes.; Preheat an outdoor grill for medium-high heat and lightly oil the grate. Cook steak until each side is seared, 6 to 8 minutes per side or to desired doneness. An instant-read thermometer inserted into the center should read 150 degrees F (65 degrees C). Transfer to a plate and let rest 10 minutes before slicing into thin slices and then into small chunks. Keep warm.; Bake steak fries according to package directions.; Combine tomatoes, onions, cilantro, and red pepper flakes in a mixing bowl.; Melt butter in a skillet over medium heat. Crack eggs into skillet and cook to desired doneness.; Divide fries among 4 serving places. Top with carne asada, some of the tomato-onion mixture, shredded cheese, egg, and guacamole. | Home; Recipes; Trusted Brands: Recipes and Tips; Hunt's
Strawberry Banana Smoothie from Reddi-wip® | 11 | 4 | 4.40000009536743 | 10 m | 1/2 cup chopped fresh strawberries; 1/4 medium banana, peeled and halved; 1/4 cup vanilla nonfat yogurt with low-calorie sweetener; 1/2 cup crushed ice; Reddi-wip® Original Dairy Whipped Topping | Place strawberries, banana and yogurt in blender container. Pulse until fruit is well blended, scraping sides of container, if necessary.; Add ice; pulse until ice is well blended.; Pour into glass and top with one serving (2 tablespoons) Reddi-wip. Serve immediately. | Home; Recipes; Trusted Brands: Recipes and Tips; Reddi-wip®
Easy, Healthy No-Cook Overnight Oats | 21 | 5 | 4.80000019073486 | 4 h 10 m | 1 banana, sliced; 1 tablespoon unsweetened almond butter, or more to taste; 1 1/2 teaspoons chia seeds; 1 cup rolled oats; 1 cup unsweetened almond milk; 1 teaspoon pure maple syrup; 1/4 teaspoon vanilla extract | Place 3 to 4 slices of banana in the bottom of a jar. Layer 1 1/2 teaspoon of almond butter, 1/2 teaspoon chia seeds, and 1/2 cup oats on top. Repeat layering remaining almond butter, chia seeds, and oats, leaving a 1-inch gap at the top.; Mix almond milk, maple syrup, and vanilla extract in a bowl. Pour over oats, leaving a 1/2-inch gap at the top to allow oats to expands as they soak. Push a knife or fork vertically through the jar to make sure milk mixture soaks all the way through.; Cover jar tightly and refrigerate until oats are moist, 4 hours to overnight. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Goat Cheese and Leek Quiche | 11 | 5 | 4.59999990463257 | 1 h 15 m | 1 (9 inch) frozen single pie crust, thawed; 3 leeks - white and light green parts only, halved lengthwise, and sliced; 3 eggs; 1/2 cup heavy whipping cream; 1/2 cup milk; 2 tablespoons chopped fresh chives; 1/4 teaspoon ground nutmeg; 1/4 teaspoon salt; 1/4 teaspoon ground black pepper; 2 ounces soft goat cheese, crumbled | Preheat oven to 400 degrees F (200 degrees C). Prick pie crust all over with a fork; place on a baking sheet.; Bake in the preheated oven until lightly golden, about 15 minutes. Remove crust and set aside to cool slightly; reduce oven temperature to 375 degrees (190 degrees C).; Bring a large pot of water to a boil and simmer leeks just until tender, about 7 minutes; drain thoroughly.; Whisk eggs, heavy cream, milk, chives, nutmeg, salt, and black pepper together in a bowl. Spread leeks evenly over bottom of pie crust; dot with goat cheese. Pour egg mixture over leeks.; Bake in the preheated oven until puffed, lightly browned, and a sharp knife inserted near the center comes out clean, 40 to 50 minutes. Remove to cool until warm or room temperature before serving. | Home; Recipes; Breakfast and Brunch; Eggs; Quiche
Mason Jar Eggs | 79 | 2 | 4.80000019073486 | 45 m | 4 eggs; 4 egg whites; 1/2 cup plain Greek yogurt; 2 canning jars; cooking spray; 2 cooked sausage links, casings removed and diced; 1 cup diced red bell pepper; 1/2 cup shredded spinach in 1/2-inch pieces; 1 1/2 teaspoons garlic powder; salt and ground black pepper to taste | Preheat oven to 350 degrees F (175 degrees C).; Combine eggs, egg whites, and Greek yogurt in a bowl; beat by hand until thick and fluffy.; Spray cooking spray inside of canning jars. Layer sausage, bell pepper, and spinach into the 2 jars. Pour egg mixture evenly into each jar; fill to 3/4 full to allow room to rise. Place jars onto a small baking sheet.; Bake in the preheated oven until eggs are firm, 25 to 30 minutes. Remove from oven; cool for 5 to 10 minutes. Season with garlic powder, salt, and pepper. | Home; Recipes; Breakfast and Brunch; Eggs
Chia Ginger Smoothie | 17 | 5 | 4.40000009536743 | 10 m | 1/4 cucumber, roughly chopped; 1 frozen banana, chopped; 1 teaspoon grated fresh ginger; 1 teaspoon chia seeds; 1/2 cup orange juice; water as needed | Layer cucumber, banana, ginger, and chia seeds in a blender; add orange juice. Blend mixture until smooth, adding water for a thinner smoothie. | Home; Recipes; Breakfast and Brunch; Drinks
Paleo Apple Pie Smoothie | 10 | 5 | 4.40000009536743 | 10 m | 1 apple, roughly chopped; 1/4 cup frozen pineapple chunks; 1 tablespoon cashew butter; 1 tablespoon unsweetened flaked coconut; 1 teaspoon flax seed meal; 1/2 teaspoon vanilla extract; 1/4 teaspoon ground cinnamon, or as desired; 1 cup almond milk | Layer apple, pineapple, cashew butter, coconut, flax meal, vanilla extract, and cinnamon into a blender; add almond milk. Blend mixture until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Power Oatmeal | 10 | 5 | 4.80000019073486 | 25 m | 1 cup quick cooking oats; 1 cup milk; 1/2 cup Greek yogurt; 1 banana, mashed; 3 tablespoons flax seed meal; 2 tablespoons peanut butter | Whisk oats, milk, yogurt, banana, flax seed meal, and peanut butter together in a bowl. Refrigerate until set, at least 15 minutes. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Night-Before Oatmeal-In-A-Jar | 37 | 4 | 4 | 8 h 10 m | 1/2 cup quick-cooking oats; 2 tablespoons coconut sugar; 1 tablespoon almond butter; 3/4 cup hot water | Combine oats, coconut sugar, and almond butter in a small jar with a tight-fitting lid (such as a Ball(R) mason jar); cover with lid and store in the refrigerator, 8 hours to overnight.; Mix hot water into oat mixture, return lid to jar, and allow to sit, 3 to 5 minutes. Stir well and eat. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Carrot and Apple Juice | 29 | 4 | 4.80000019073486 | 10 m | 4 carrots, trimmed; 2 apples, quartered; 2 stalks celery; 1 (1/2 inch) piece fresh ginger | Run carrots, apples, and celery through a juicer (alternating carrot, apple, and celery) according to manufacturer's instructions. Add ginger to juicer and process. | Home; Recipes; Breakfast and Brunch; Drinks
Superfood Chocolate Pudding Smoothie | 19 | 5 | 4.40000009536743 | 5 m | 1 small banana, chopped; 1/2 avocado; 1/2 cup soy milk; 2 tablespoons mixed frozen berries; 2 teaspoons unsweetened cocoa powder; 2 teaspoons agave nectar; 1 teaspoon vanilla extract | Blend banana, avocado, soy milk, berries, cocoa powder, agave nectar, and vanilla extract together in a blender until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Banana, Orange, and Ginger Smoothie | 25 | 5 | 5 | 5 m | 1 orange, peeled; 1/2 banana; 3 ice cubes; 2 teaspoons honey; 1/2 teaspoon grated fresh ginger root, or to taste; 1/2 cup plain yogurt | Layer orange, banana, ice cubes, honey, and ginger in the blender; top with yogurt. Blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Laura's Breadless Fried Egg Sandwich | 23 | 4 | 3.20000004768372 | 21 m | 3 slices bacon; cooking spray; 2 eggs; salt and ground black pepper to taste; 1/3 cup shredded Cheddar cheese | Place bacon slices in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain slices on paper towels. Crumble into pieces and set aside.; Spray another skillet with cooking spray and heat over medium-low heat. Crack eggs side by side into the skillet; season with salt and black pepper. Cook until egg whites are set and firm, 3 to 4 minutes. Flip eggs. Sprinkle bacon pieces and Cheddar cheese over one egg. Continue cooking to desired doneness and cheese is melted, 3 to 4 minutes more. Place second egg on top. Transfer to serving dish. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Leftover Ham and Bacon Hash | 16 | 4 | 4.40000009536743 | 1 h | 1 tablespoon Dijon mustard; 2 tablespoons olive oil; 3/4 teaspoon kosher salt; 1 teaspoon freshly ground black pepper; 2 pounds yellow potatoes, diced; 8 ounces button mushrooms, quartered; 1 1/2 cups cubed ham (Smithfield® Anytime Favorites Cubed Ham or Smithfield® Hickory Smoked Spiral Sliced Ham, cubed); 4 slices Smithfield® Hometown Original Bacon; 2/3 cup jarred roasted red peppers, drained and roughly chopped; 3/4 cup fresh mozzarella cheese, cubed; 4 eggs, fried, poached, or to preference (optional); 1/3 cup thinly sliced fresh basil leaves | Preheat oven to 425F. In large bowl, whisk together mustard, oil, salt and pepper until combined. Add potatoes and mushrooms and toss to coat.; Spread potato mixture evenly onto 2 lightly oiled or nonstick rimmed baking pans and roast in oven for 35-40 minutes or until potatoes and mushrooms have started to brown, stirring halfway through cooking. Add any leftover bacon or ham to the mixture and stir.; Add in roasted peppers to oven-safe serving casserole (if desired) and top with cheese. Bake for additional 10-15 minutes or until cheese has softened and begun to melt. Top hash with eggs cooked to your preference and sliced basil. | Home; Recipes; Trusted Brands: Recipes and Tips; Smithfield® Holiday 2015
Sweet Summer Squash Bread | 17 | 3 | 3.79999995231628 | 1 h 45 m | 3 cups all-purpose flour; 2 1/2 cups white sugar; 2 cups grated yellow squash; 1 cup vegetable oil; 1 (8 ounce) can crushed pineapple, drained; 1 cup chopped nuts (optional); 3 eggs, beaten; 1 teaspoon vanilla extract; 1 teaspoon ground cinnamon; 1 teaspoon baking soda; 1 teaspoon salt; 1/4 teaspoon baking powder | Preheat oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.; Mix flour, sugar, squash, oil, pineapple, nuts, eggs, vanilla extract, cinnamon, baking soda, salt, and baking powder together in a bowl; pour into prepared loaf pans.; Bake in the preheated oven until a toothpick inserted in the middle comes out clean, about 1 hour. Cool bread for 10 minutes in pan before transferring to a wire rack to cool completely. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Coconut Raspberry Smoothie | 8 | 3 | 5 | 5 m | 2 bananas, broken into chunks; 1 cup frozen raspberries; 2 tablespoons pecan halves; 1 tablespoon coconut oil; 1 tablespoon flax seed meal; 1 date, pitted; 16 fluid ounces water | Place bananas, raspberries, pecans, coconut oil, flax meal, and date in a blender; add water. Blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Miso Oatmeal Bowl | 4 | 5 | 5 | 15 m | 1 cup water; 1/2 cup rolled oats; 1 teaspoon miso paste, or to taste; 1/4 cup fresh spinach, or to taste; 10 walnut halves; 2 tablespoons chopped roasted seaweed, or to taste (optional); 1/2 avocado - peeled, pitted, and cubed | Bring water to a boil in a saucepan; add oats and miso paste. Cook for about 1 minute. Add spinach, walnuts, and seaweed to oat mixture; cook, stirring occasionally, until oatmeal is desired consistency, about 5 minutes.; Pour oatmeal into a bowl and top with avocado. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Skinny Almond Milk Shake | 5 | 4 | 2.40000009536743 | 5 m | 15 ice cubes, or as desired; 3/4 cup almond milk; 1/3 banana; 1 tablespoon unsweetened cocoa powder; 1/2 teaspoon vanilla extract | Blend ice cubes, almond milk, banana, cocoa powder, and vanilla extract together in a blender until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Chicken in a Waffle | 25 | 2 | 3.20000004768372 | 40 m | 24 frozen chicken nuggets; cooking spray; 1 1/4 cups all-purpose flour; 1/4 cup cornmeal; 1 1/2 teaspoons white sugar; 1 1/2 teaspoons baking powder; 1 teaspoon salt; 3/4 teaspoon baking soda; 1/2 teaspoon ground black pepper; 1/4 teaspoon cayenne pepper; 1 3/4 cups buttermilk; 1/3 cup vegetable oil; 2 eggs, beaten | Preheat oven to 400 degrees F (200 degrees C). Spread chicken nuggets out on a baking sheet.; Bake nuggets in the preheated oven until hot and crispy, 11 to 13 minutes.; Preheat a waffle iron according to manufacturer's instructions and lightly coat with cooking spray.; Whisk flour, cornmeal, sugar, baking powder, salt, baking soda, black pepper, and cayenne pepper together in a bowl. Whisk buttermilk, oil, and eggs together in another bowl. Pour buttermilk mixture into flour mixture and stir until batter is just-combined.; Place 1 chicken nugget in the center of each waffle section on the waffle iron. Cover each nugget with about 1 tablespoon of batter, close the waffle iron, and cook until golden and crisp, about 4 minutes. Repeat with remaining nuggets and batter. | Home; Recipes; Breakfast and Brunch; Waffles
Scrambled Eggs Fraiche | 11 | 5 | 3.59999990463257 | 15 m | 3 eggs; 2 tablespoons minced fresh parsley; 1 teaspoon ground black pepper; 1/2 teaspoon kosher salt; 1/2 teaspoon ground white pepper (optional); 2 tablespoons butter; 1 tablespoon olive oil; 2 tablespoons creme fraiche, divided | Beat eggs in a bowl with an electric mixer until thick and frothy, 1 to 2 minutes. Fold in parsley, black pepper, salt, and white pepper.; Melt butter and olive oil together in a nonstick skillet over medium heat; reduce heat to low. Cook and stir egg mixture in hot butter and oil until eggs begin to set, about 1 minute. Stir in 1 tablespoon creme fraiche; cook and stir until eggs are set, 2 to 3 minutes more. Transfer to a plate and garnish with remaining creme fraiche. | Home; Recipes; Breakfast and Brunch; Eggs; Scrambled Eggs
Hot Dog Breakfast | 8 | 3 | 2.20000004768372 | 35 m | 1/2 pound farfalle (bow-tie) pasta; 5 eggs, beaten; 1 tablespoon sour cream; salt and ground black pepper to taste; 4 hot dogs, sliced thin; 1/2 cup shredded Cheddar cheese | Bring a large pot of lightly salted water to a boil. Cook the bow-tie pasta at a boil, stirring occasionally, until cooked through yet firm to the bite, about 12 minutes; drain.; Beat eggs and sour cream together in a bowl until smooth.; Heat a large skillet over medium heat. Cook and stir eggs mixture until mostly cooked into solid bits with very little moisture remaining, about 3 minutes; season with salt and pepper. Add hot dogs to the eggs and continue cooking until the hot dogs are heated through and the eggs have finished cooking, about 5 minutes more.; Stir drained pasta into the eggs. Sprinkle Cheddar cheese over the egg and pasta mixture; stir to melt the cheese slightly. | Home; Recipes; Breakfast and Brunch; Eggs; Scrambled Eggs
Egg Cupcakes | 28 | 3 | 4.80000019073486 | 35 m | 1 (12 ounce) package bacon; 6 eggs; 2 tablespoons milk; 1 teaspoon butter, melted; 1/4 teaspoon dried parsley; 1/4 teaspoon salt; 1/4 teaspoon ground black pepper; 1/2 cup diced ham; 1/4 cup shredded mozzarella cheese; 6 slices Gouda cheese | Preheat oven to 350 degrees F (175 degrees C).; Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until starting to brown, about 5 minutes. Drain bacon slices on paper towels.; Line 6 cups of a nonstick muffin tin with bacon slices. Chop leftover bacon slices and sprinkle over the bottom of each cup.; Whisk eggs, milk, butter, parsley, salt, and pepper together in a large bowl. Stir in ham and mozzarella cheese.; Pour egg mixture into the bacon-lined cups; top with Gouda cheese.; Bake in the preheated oven until Gouda cheese is melted and eggs are set, about 15 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Blueberry Almond Pancakes | 7 | 5 | 5 | 23 m | 5 tablespoons butter, divided; 1 1/4 cups all-purpose flour; 2 tablespoons white sugar; 1 tablespoon baking powder; 1/2 teaspoon salt; 1 cup plain yogurt; 2 eggs; 1 1/2 teaspoons almond extract; 1/4 cup water, or as needed; 1 cup fresh blueberries | Place 3 tablespoons butter in a microwave-safe bowl; heat in microwave until melted, 20 to 30 seconds.; Whisk flour, sugar, baking powder, and salt together in a bowl.; Beat yogurt and eggs together in a bowl; add melted butter and almond extract and beat well. Fold flour mixture into yogurt mixture until batter is well combined. Add water, 1 tablespoon at a time, until batter reaches a pourable consistency.; Melt remaining butter in a large skillet or griddle over medium-low heat. Pour 1/4 cup batter into skillet and place 6 to 10 blueberries onto the batter; cook until batter starts to bubble, 1 to 2 minutes. Flip and cook until bottom is lightly browned, about 30 seconds. Repeat with remaining batter and blueberries. | Home; Recipes; Breakfast and Brunch; Pancakes
Perfect Gluten-Free Pumpkin Waffles | 16 | 5 | 5 | 25 m | 2 1/4 cups gluten-free baking flour (such as Bob's Red Mill®); 1 tablespoon baking powder; 1 teaspoon ground cinnamon; 1 teaspoon pumpkin pie spice; 3/4 teaspoon salt; 3 eggs; 2/3 cup almond milk; 1/2 cup coconut oil, melted; 1/2 cup packed pumpkin puree; 3 tablespoons maple syrup; 1 tablespoon vanilla extract | Combine gluten-free flour, baking powder, cinnamon, pumpkin pie spice, and salt in a large bowl.; Whisk eggs in a separate bowl. Whisk in almond milk, coconut oil, pumpkin puree, maple syrup, and vanilla extract. Fold in flour mixture until batter is just blended.; Preheat waffle iron according to manufacturer's instructions. Let batter rest, about 10 minutes.; Stir batter. Scoop 1/2 cup batter onto the preheated iron and spread to the edges. Close iron and cook until iron stops steaming, about 5 minutes. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Waffles
Cathy's Gluten-Free Oatmeal Waffles | 9 | 4 | 4.40000009536743 | 20 m | cooking spray; 1 1/2 cups gluten-free rolled oats; 3/4 cup almond milk; 1 egg, at room temperature, separated; 3 tablespoons melted butter; 1 tablespoon brown sugar; 1 teaspoon baking powder | Preheat a waffle iron according to manufacturer's instructions. Grease with cooking spray.; Combine oats and almond milk in a large bowl.; Whisk egg yolk and butter together in a small bowl; stir into oat mixture.; Beat egg white in a glass, metal, or ceramic bowl until stiff peaks form.; Stir brown sugar and baking powder into the oat mixture. Fold beaten egg white gently into the batter.; Scoop 1/2 cup batter onto the preheated iron and spread to the edges. Close iron and cook until iron stops steaming, about 5 minutes. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Waffles
Low-Carb Pancakes or Crepes | 16 | 5 | 4.80000019073486 | 20 m | 5 eggs; 1 (8 ounce) package cream cheese, softened; 1 tablespoon maple syrup; 2 teaspoons coconut flour; 1 teaspoon ground cinnamon; cooking spray | Preheat an electric griddle to 225 degrees F (107 degrees C).; Blend eggs and cream cheese in a blender until smooth. Add maple syrup, coconut flour, and cinnamon; blend until batter is smooth.; Spray the preheated griddle with cooking spray. Pour batter onto the griddle to form small pancakes. Cook until edges set and do not tear when lifted with a spatula, 5 to 7 minutes. Flip pancakes gently with 2 rubber spatulas. Cook until second side is set, about 5 minutes. Repeat with remaining batter, spraying griddle between batches. | Home; Recipes; Breakfast and Brunch; Pancakes
Oatmeal PB and Banana Smoothie | 9 | 5 | 5 | 5 m | 1/4 cup rolled oats; 1 cup coconut milk beverage (such as Silk®); 1/2 banana, frozen; 3 tablespoons powdered peanut butter (such as PB2®); 1 tablespoon agave nectar | Place oats in a blender and blend until a fine powder forms; add coconut milk beverage, banana, powdered peanut butter, and agave nectar. Blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Corned Beef Hash & Egg Pastry Squares | 42 | 5 | 4.80000019073486 | 1 h 10 m | 1 sheet frozen puff pastry; 1 (15 ounce) can HORMEL® Mary Kitchen® Corned Beef Hash; 1 cup shredded Swiss cheese, divided; 4 large eggs; salt and pepper to taste; 2 chopped green onions; Sriracha hot chili sauce (optional) | Thaw puff pastry sheet at room temperature until workable but still cold, about 30 minutes.; Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.; Heat a large skillet over medium high heat. Add corned beef hash. Cook and stir, breaking down larger pieces, until fat is rendered and hash is beginning to crisp up, about 15 minutes. and spread out. Transfer to a paper towel lined plate.; Unroll puff pastry onto a 2nd sheet of parchment paper lightly dusted with flour. Roll out to a (11x11-inch) square. Cut into 4 square (5 1/2 x 5 1/2-inch) pieces.; Place squares on prepared baking sheet making sure they do not touch. Prick the center of each square several times with a fork. Bake in preheated oven 10 minutes. Pastry will have puffed in the middle. Gently press down the center of each pastry leaving a small puffed border around the edges.; Divide corned beef among the pastry squares leaving a 1/2-inch border. Top with 1/4 cup of Swiss cheese. Arrange toppings to create a slight well in the center for the eggs.; Carefully crack an egg into the center of each square. Sprinkle with salt and pepper.; Bake until eggs are cooked to your preference, about 12 to 15 minutes.; Serve topped with chopped green onions and a drizzle of sriracha sauce. | Home; Recipes; Breakfast and Brunch; Eggs
Breakfast Cupcakes | 91 | 2 | 4.59999990463257 | 33 m | cooking spray; 6 slices bread; 6 slices bacon; 6 eggs; 1/4 cup chopped onion; 1/4 teaspoon garlic powder; salt and ground black pepper to taste; 1/4 cup shredded Cheddar cheese, or more to taste | Preheat oven to 350 degrees F (175 degrees C). Grease a 6-cup muffin tin with cooking spray.; Press circles into the bread slices using a small juice glass. Place 1 circle into each muffin cup.; Heat a skillet over medium heat; cook bacon until almost crisp, 3 to 5 minutes.; Beat eggs with onion, garlic powder, salt, and pepper in a bowl.; Line each muffin cup with a slice of bacon. Fill each cup with egg mixture and top off with Cheddar cheese.; Bake in the preheated oven until eggs are set, 20 to 25 minutes. Allow to cool slightly before serving. | Home; Recipes; Breakfast and Brunch; Eggs
Cauliflower-Crusted Quiche with Hillshire Farm® Smoked Sausage | 30 | 2 | 4.19999980926514 | 1 h 10 m | 1 medium head cauliflower, cored and cut into florets; 2 tablespoons olive oil, divided; 5 eggs, divided; 1 cup shredded mozzarella cheese, divided; 1 tablespoon whole wheat panko bread crumbs; 2 tablespoons snipped fresh chives; 1 medium sweet red pepper, chopped; 1/2 (14 ounce) package Hillshire Farm® Smoked Sausage, bias-sliced 1/2-inch thick; 1/2 cup chopped onion; 1/4 cup heavy whipping cream; 1 tablespoon all-purpose flour; Chives (optional) | Preheat oven to 375 degrees F. Grease a 9-inch deep-dish pie plate; set aside.; Place cauliflower in a food processor in batches. Cover and pulse each batch until crumbly and mixture resembles the texture of rice.; In a very large skillet, heat 1 tablespoon of the oil over medium-high heat. Add the cauliflower and cook, stirring occasionally, about 4 minutes, or until cauliflower is tender and starting to brown.; In a medium bowl, combine the cauliflower, 1 egg, 1/2 cup of the cheese, the panko, and 2 tablespoons chives. Press mixture onto the bottom and up the sides of the prepared pie plate.; In the same skillet, heat remaining 1 tablespoon of oil over medium heat. Add sweet pepper and cook for 2 minutes, or until it begins to soften. Add sausage and onion and cook for 5 minutes, stirring occasionally, until onion softens and sausage begins to brown. Spoon sausage mixture and remaining 1/2 cup cheese into cauliflower crust.; In a medium bowl, whisk together remaining 4 eggs, whipping cream, and flour. Pour over sausage mixture in crust.; Bake, uncovered, for 30 to 40 minutes or until a knife inserted near center comes out clean. Let stand on a wire rack for 10 minutes before serving. Sprinkle with additional chives, if desired. | Home; Recipes; Trusted Brands: Recipes and Tips; Hillshire Farm®
Rhubarb Cinnamon-Nut Bread | 5 | 5 | 4.80000019073486 | 9 h 45 m | 1 1/3 cups white sugar, divided; 1/2 cup finely chopped toasted pecans; 2 teaspoons ground cinnamon; 2 cups all-purpose flour; 1 teaspoon baking powder; 1/2 teaspoon salt; 1 egg; 1 cup milk; 1/3 cup vegetable oil; 1 cup chopped rhubarb | Preheat oven to 350 degrees F (175 degrees C). Grease and flour the bottom and 1/2 inch up the sides of a 9x5-inch loaf pan.; Stir together 1/3 cup sugar, pecans, and cinnamon in a small bowl.; Stir together flour, baking powder, salt, and remaining 1 cup sugar in a large bowl. In another bowl, beat egg with a fork; stir in milk and oil. Add egg mixture to flour mixture. Stir until just moistened; batter should be lumpy. Fold in rhubarb.; Spoon 1/2 of the batter into prepared pan, then sprinkle with 1/2 of the cinnamon mixture. Repeat with remaining batter and cinnamon mixture. Using a table knife or thin metal spatula, cut down through batter and pull up in a circular motion to marble the cinnamon mixture.; Bake until a toothpick inserted in center comes out clean, 55 to 60 minutes. Transfer pan to a wire rack and let cool 10 minutes. Remove bread and let cool completely on rack, at least 30 minutes.; Wrap bread with plastic wrap and let stand at room temperature, 8 hours to overnight, before slicing. You don't have to wait overnight, but the bread is much easier to slice and has a better texture if you do. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Chorizo Breakfast Tacos with Potato Hash and Eggs | 8 | 3 | 4.80000019073486 | 18 m | 2 tablespoons vegetable oil; 2 baked potatoes, peeled and cubed; 1/2 cup chopped onion; 1/2 teaspoon garlic powder; 1/2 teaspoon onion powder; salt and freshly ground black pepper; 7 ounces chorizo sausage, removed from casings; 5 eggs; 1 tablespoon milk; 3 tablespoons finely chopped fresh cilantro, divided; 6 small corn tortillas, warmed; 1/2 cup shredded Cheddar cheese; 6 tablespoons salsa | Heat oil in a nonstick skillet over medium-high heat until shimmering. Add potatoes, onion, garlic powder, and onion powder to one side of the skillet and season with salt and pepper. Add chorizo sausage on the other side of the skillet and saute, breaking up with the back of a spoon, until browned, about 5 minutes. Turn over the potatoes after a couple of minutes so they get brown on both sides.; Combine eggs, milk, 1 tablespoon cilantro, salt, and pepper in a bowl. Reduce heat and pour egg mixture into the skillet. Stir eggs until they are very softly set, about 3 minutes. Remove from heat.; Spread out warmed tortillas and divide potato, chorizo, and egg mixture among them. Sprinkle with remaining 2 tablespoons cilantro. Top with Cheddar cheese and salsa. | Home; Recipes; Breakfast and Brunch; Potatoes
Madame Cristo - Grilled Ham and Cheese | 5 | 2 | 5 | 25 m | 1 large egg; 5 tablespoons heavy cream; 1/2 teaspoon salt; 1 pinch cayenne pepper; 1 pinch freshly grated nutmeg; 1 teaspoon freshly grated lemon zest; 4 slices white bread; 8 thin slices Havarti cheese; 4 ounces thinly sliced honey baked ham, halved; 2 tablespoons butter; 1/2 teaspoon champagne vinegar; 1 egg; 1 pinch cayenne pepper | Combine egg, heavy cream, salt, cayenne pepper, nutmeg, and lemon zest in a bowl. Mix until batter is thin and runny.; Toast bread until lightly browned. Add Havarti cheese to each slice. Align ham on top. Bring the two halves of the sandwich together and place into the batter. Flip several times to coat evenly; place on a plate.; Fill a large saucepan with 2 inches of water and bring to a boil. In the meantime, melt butter in a skillet over medium heat. Cook sandwich in the hot butter until outside is browned and cheese is melted, about 4 minutes per side.; Meanwhile, reduce saucepan heat to medium-low, pour in vinegar, and keep the water at a gentle simmer. Crack egg into a small bowl then gently slip it into the simmering water, holding the bowl just above the surface of water. Cook until the egg white is firm and the yolk has thickened but is not hard, 2 1/2 to 3 minutes.; Transfer sandwich to a plate and dust with cayenne pepper. Remove the egg from the water with a slotted spoon, dab on a kitchen towel to remove excess water, and place onto the sandwich. Dust with cayenne pepper. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Chocolate Chip Baked Oatmeal | 17 | 1 | 4.5 | 1 h 14 m | 2 cups old-fashioned oats; 2/3 cup roughly chopped pecans; 2 teaspoons ground cinnamon; 1 teaspoon baking powder; 1/2 teaspoon salt; 1 3/4 cups milk or almond milk; 1/3 cup maple syrup or honey; 2 large eggs; 3 tablespoons melted butter; 2 teaspoons vanilla; 1 (12 ounce) package HERSHEY'S Semi-Sweet Chocolate Chips, divided; 2/3 cup fresh raspberries (optional) | Preheat the oven to 350 degrees F. Grease a 2-quart square baking dish.; On a rimmed baking sheet, bake oats and pecans 4 to 5 minutes or until fragrant and lightly toasted. Cool 5 minutes.; In a medium bowl, stir together the oats and pecans, cinnamon, baking powder, and salt.; In another medium bowl, combine milk, maple syrup or honey, eggs, butter, and vanilla. Whisk until thoroughly combined.; Set aside 1/2 cup of the HERSHEY'S Semi-Sweet Chocolate Chips for topping the baked oatmeal. Pour the remaining chocolate chips into the prepared baking dish, spreading into an even layer.; Cover the chocolate with the dry oat mixture, then drizzle the wet ingredients over the oats. Stir once or twice to gently combine, but do not combine completely. Sprinkle reserved chocolate chips over the top, along with raspberries (if using).; Bake 35 to 40 minutes or until set and golden. Let stand 15 minutes before serving. If desired, add additional HERSHEY'S Semi-Sweet Chocolate Chips, maple syrup, and/or honey for serving. | Home; Recipes; Trusted Brands: Recipes and Tips
