Old Fashioned Chocolate Cake | 111 | 87 | 4.53999996185303 | 1 h 15 m | ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Desserts; Chocolate
Baked Apple Roses | 398 | 73 | 4.7142858505249 | 1 h 10 m | 1 large red apple, cored and very thinly sliced; 1/4 cup white sugar; 1 teaspoon ground cinnamon; 1 sheet frozen puff pastry, thawed; 1/4 cup melted butter; 1 egg; 2 teaspoons water; 1 teaspoon confectioners' sugar (optional) | Preheat oven to 400 degrees F (200 degrees C). Butter 2 small ramekins (6 to 8 ounce) and dust with white sugar.; Place apple slices on a plate, overlapping slightly if necessary. Microwave on High about 45 seconds just until slices have softened a bit. Cover plate with plastic wrap and a kitchen towel.; Mix together sugar and cinnamon in a bowl.; Roll puff pastry sheet to less than 1/8-inch thickness. Using a pizza cutter, cut two 3-inch by 12-inch rectangles. Reserve remaining pieces for another use.; Spread melted butter over dough; top with a generous amount of cinnamon-sugar. Place apple slices along 1 long edge of dough, about 1/4 inch beyond edge of dough, overlapping slices slightly. Fold bottom half of dough over the apple slices to form a long "folder" of dough with rounded edges of apple slices exposed.; Beat egg and water together in a bowl. Paint surface of dough with egg wash. Sprinkle with more cinnamon-sugar, to taste.; Starting from one end, roll dough not too tightly to form a rose-shaped pastry. Seal roll with end of dough strip.; Transfer roses to prepared ramekins. Sprinkle with a little more cinnamon-sugar. Place ramekins directly on middle rack of preheated oven.; Bake until well browned, about 45 minutes. Remove ramekins with tongs and place on baking sheet to cool 5 to 10 minutes. Remove apple roses from ramekins and finish cooling on rack. Dust with confectioners' sugar before serving. | Home; Recipes; Bread; Yeast Bread
Peanut Butter Cake | 204 | 78 | 4.36263751983643 | 50 m | 2 cups all-purpose flour; 2 cups white sugar; 1 teaspoon baking soda; 1/2 cup milk; 2 eggs; 1 teaspoon vanilla extract; 1 cup water; 1/2 cup butter; 1/2 cup vegetable oil; 1/2 cup peanut butter; 1/2 cup butter; 1/2 cup peanut butter; 1/3 cup milk; 1 teaspoon vanilla extract; 4 3/4 cups confectioners' sugar | Preheat oven to 350 degrees F (175 degrees C). Grease a baking sheet.; Whisk flour, white sugar, and baking soda together in a bowl. Beat 1/2 cup milk, eggs, and 1 teaspoon vanilla extract into flour mixture using an electric mixer on low until smooth.; Cook and stir water, 1/2 cup butter, vegetable oil, and 1/2 cup peanut butter together in a saucepan over medium heat until smooth, about 5 minutes. Stir peanut butter mixture into flour mixture until batter is well mixed; pour onto the prepared baking sheet.; Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, about 20 minutes.; Melt 1/2 cup butter and 1/2 cup peanut butter together in a saucepan over medium heat until smooth; add 1/3 cup milk and 1 teaspoon vanilla extract. Whisk confectioners' sugar into mixture until icing is smooth, 3 to 5 minutes. Pour icing over warm cake. | Home; Recipes; Desserts; Cakes; Sheet Cake
Linda's Cranberry Cookies | 158 | 74 | 4.78021955490112 | 1 h | 2 1/4 cups all-purpose flour; 1 teaspoon baking soda; 1 cup butter; 1/4 cup white sugar; 3/4 cup brown sugar; 1 (3.5 ounce) package instant vanilla pudding mix; 1 teaspoon vanilla extract; 2 eggs; 1 (6 ounce) package white chocolate chips; 1/2 (6 ounce) package dried cranberries | Preheat an oven to 350 degrees F (175 degrees C). Lightly grease two baking sheets. Combine flour and baking soda in a bowl.; Beat the butter, white sugar, brown sugar, and instant pudding with an electric mixer in a large bowl until smooth. Beat the first egg into the butter until completely blended, then beat in the vanilla with the last egg. Mix in the flour mixture until just incorporated. Fold in the white chocolate chips and cranberries; mixing just enough to evenly combine. Drop spoonfuls of the dough 2 inches apart onto prepared baking sheets.; Bake in the preheated oven until edges of the cookies become golden brown, 9 to 12 minutes. Cool in the baking sheet for 10 minutes before removing to cool completely on a wire rack. | Home; Recipes; Desserts; Cookies; Fruit Cookies; Cranberry
Bloody Broken Glass Cupcakes | 163 | 72 | 4.37362623214722 | 1 h 20 m | 1 (18.25 ounce) package white cake mix; 1 cup water; 1/3 cup vegetable oil; 3 eggs; 1 (16 ounce) can white frosting; 2 cups water; 1 cup light corn syrup; 3 1/2 cups white sugar; 1/4 teaspoon cream of tartar; 1/2 cup light corn syrup; 1 tablespoon cornstarch; 1/4 cup water, or more as needed; 15 drops red food coloring; 3 drops blue food coloring | Preheat an oven to 350 degrees F (175 degrees C). Line 2, 12-cupcake tins with paper cupcake liners.; Blend cake mix, 1 cup water, vegetable oil, and eggs in a large bowl. Beat with a mixer on low speed for 2 minutes. Divide cake batter between lined cupcake tins.; Bake cupcakes in preheated oven until a toothpick inserted in the center comes out clean, 18 to 22 minutes. Cool completely. Frost cupcakes with white frosting.; Make the sugar glass. Mix 2 cups water, 1 cup corn syrup, white sugar, and cream of tartar in a large saucepan; bring to a boil. Use a candy thermometer and boil sugar syrup until temperature reaches 300 degrees (hard ball), stirring constantly. The mixture will thicken as water evaporates. When sugar reaches 300 degrees, quickly pour onto a metal baking pan. Cool until completely hardened. Break into "shards" using a meat mallet.; Make the edible blood. Mix together 1/2 cup corn syrup and cornstarch in a large bowl. Slowly stir in the 1/4 cup of water, adding more if necessary, until the corn syrup mixture has thickened to the consistency of blood. Stir in the red and blue food coloring.; Stab each frosted cupcake with a few shards of broken sugar glass. Drizzle on drops of "blood" to complete the effect. | Home; Recipes; Desserts; Cakes; Cupcakes; Holiday
Eggless Chocolate Peanut Butter Cookies | 113 | 80 | 4.45054960250854 | 31 m | 2 cups flour; 1 teaspoon baking soda; 1 teaspoon baking powder; 1/4 teaspoon salt; 3/4 cup butter, softened; 1 cup sugar; 2 tablespoons brown sugar; 1/2 teaspoon vanilla extract; 1/4 cup cocoa powder; 1/3 cup peanut butter; 1/2 cup milk | Preheat the oven to 375 degrees F (190 degrees C). Sift together flour, baking soda, baking powder, and salt. Set aside.; Cream together butter, sugar, and brown sugar in a large bowl. Mix in vanilla extract and cocoa powder, then add peanut butter, and stir until smooth. Gradually mix in the sifted ingredients until well blended. Pour milk into dough, and stir until fully combined.; Drop dough by heaping teaspoons onto ungreased baking sheets. Bake in the preheated oven until edges are lightly browned, 11 to 13 minutes. For a crunchier cookie, bake an additional minute or two. | Home; Recipes; Desserts; Cookies
Easy Red Velvet Cake | 86 | 78 | 3.93406581878662 | 40 m | 1 (18.25 ounce) package white cake mix; 1 (3.5 ounce) package non-instant chocolate pudding mix; red food coloring, as desired; 1/2 cup buttermilk | Preheat oven to 350 degrees F (175 degrees C).; Prepare cake according to package directions, substituting half of the water called for with buttermilk (approximately 1/2 cup). Stir in pudding mix and food coloring.; Pour into cake pan(s) and bake according to package directions. | Home; Recipes; Desserts; Cakes; Red Velvet Cake
King Cake | 138 | 75 | 4.13186836242676 | 2 h 45 m | 2 (.25 ounce) packages active dry yeast; 1/2 cup white sugar; 1 cup warm milk (110 degrees F/45 degrees C); 1/2 cup butter, melted; 5 egg yolks; 4 cups all-purpose flour; 2 teaspoons salt; 1 teaspoon ground nutmeg; 1 teaspoon grated lemon zest; 1 (8 ounce) package cream cheese; 1/2 cup confectioners' sugar; 2 cups confectioners' sugar; 1/4 cup lemon juice; 2 tablespoons milk; 1 tablespoon multicolored candy sprinkles | In a large bowl, dissolve yeast and white sugar in warm milk. Let stand until creamy, about 10 minutes.; Stir the egg yolks and melted butter into the milk mixture. In a separate bowl, combine the flour, salt, nutmeg and lemon zest. Beat the flour mixture into the milk/egg mixture 1 cup at a time. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and supple, about 8 minutes. Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 2 hours.; In a small bowl, combine the cream cheese and 1/2 cup confectioners' sugar. Mix well. In another small bowl, combine the remaining 2 cups confectioners' sugar, lemon juice and 2 tablespoons milk. Mix well and set aside.; Turn the dough out onto a floured surface. Roll the dough out into a 6x30 inch rectangle. Spread the cream cheese filling across the center of the dough. Bring the two long edges together and seal completely. Using your hands shape the dough into a long cylinder and place on a greased baking sheet, seam-side down. Shape the dough into a ring press the baby into the ring from the bottom so that it is completely hidden by the dough. Place a well-greased 2 pound metal coffee can the center of the ring to maintain the shape during baking. Cover the ring with a towel and place in a warm place to rise until doubled in size, about 45 minutes. Meanwhile, preheat oven to 350 degrees F (175 degrees C).; Bake in preheated oven until golden brown, about 30 minutes. Remove the coffee can and allow the bread to cool. Drizzle cooled cake with lemon/sugar glaze and decorate with candy sprinkles. | Home; Recipes; Desserts; Cakes; Holiday Cakes
Walnut Pumpkin Pie | 109 | 73 | 4.70329666137695 | 50 m | 1 (9 inch) prepared graham cracker crust; 2 cups pumpkin puree; 1 (14 ounce) can sweetened condensed milk; 1 egg; 1 1/4 teaspoons ground cinnamon; 1/2 teaspoon ground ginger; 1/2 teaspoon ground nutmeg; 1/2 teaspoon salt; 1/4 cup packed brown sugar; 2 tablespoons all-purpose flour; 2 tablespoons butter; 3/4 cup chopped walnuts | Preheat oven to 425 degrees F (220 degrees C).; In a mixing bowl, combine the pumpkin, condensed milk, egg, 3/4 teaspoon cinnamon, ginger, nutmeg and salt. Pour batter into the pie crust.; Bake at 425 degrees F (220 degrees C) for 15 minutes. Reduce oven temperature to 350 degrees F (175 degrees C).; In a small bowl, combine brown sugar, flour, and remaining 1/2 teaspoon cinnamon. Cut in the butter or margarine until the mixture is crumbly. Stir in walnuts. Sprinkle mixture evenly over the pie. Bake pie for 40 minutes or until a knife inserted one inch from the edge comes out clean. Cool and garnish as desired. | Home; Recipes; Desserts; Pies; Pumpkin Pie; Fresh Pumpkin
Chocolate Chip Cookies for Special Diets | 105 | 78 | 4.27659559249878 | 50 m | 1/2 cup butter, softened; 3/4 cup granulated artificial sweetener; 2 tablespoons water; 1/2 teaspoon vanilla extract; 1 egg, beaten; 1 1/8 cups all-purpose flour; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 1/2 cup semisweet chocolate chips; 1/2 cup chopped pecans | Preheat oven to 375 degrees F (190 degrees C).; In a medium bowl, cream together the butter and sugar substitute. Mix in water, vanilla, and egg. Sift together the flour, baking soda, and salt; stir into the creamed mixture. Mix in the chocolate chips and pecans. Drop cookies by heaping teaspoonfuls onto a cookie sheet.; Bake in the preheated oven for 10 to 12 minutes. Remove from cookie sheets to cool on wire racks. These cookies freeze well. | Home; Recipes; Desserts; Cookies; Chocolate Chip Cookies
Chocolate Orange Cookies | 101 | 69 | 4.33333349227905 | 50 m | 1 (1 ounce) square unsweetened chocolate; 3/4 cup butter; 3/4 cup white sugar; 1 egg; 1 teaspoon vanilla extract; 1 1/2 cups all-purpose flour; 1 teaspoon baking powder; 1 pinch salt; 1 tablespoon orange zest | Preheat the oven to 350 degrees F (175 degrees C). In a microwave-safe dish, melt the unsweetened chocolate, stirring frequently until smooth. Set aside.; In a medium bowl, cream together the butter and sugar until smooth. Beat in the egg and vanilla. Combine the flour, baking powder, and salt; stir into the creamed mixture. Divide dough in two. Mix orange zest into one half, and melted chocolate into the other half. Use a bit of each mixture to form a ball about 1 inch in diameter.; Bake for 8 to 10 minutes in the preheated oven, or until center is set. Cool on wire racks. | Home; Recipes; Desserts; Cookies
Bellyful of Barbecued Bananas | 88 | 70 | 4.44444465637207 | 21 m | 4 bananas; 1 tablespoon lemon juice; 1 cup brown sugar; 1 teaspoon ground cinnamon; 2 cups vanilla ice cream | Preheat grill for low heat.; Halve each of the bananas lengthwise, then widthwise. Sprinkle bananas with lemon juice. In a small bowl, mix together the brown sugar and cinnamon. Roll banana pieces in sugar/cinnamon mixture until well coated.; Lightly oil the grill grate. Arrange bananas on preheated grill, and cook for 3 minutes per side. Serve in a bowl with vanilla ice cream topped with a sprinkling of remaining cinnamon/sugar mixture. Yum! | Home; Recipes; Desserts; Fruit Desserts; Banana Desserts
Fresh Fig Cake | 153 | 83 | 4.42222213745117 | 1 h 10 m | 1/4 cup butter, softened; 1 cup white sugar; 1 egg; 2 cups all-purpose flour; 1/2 teaspoon salt; 2 teaspoons baking powder; 1 cup fat-free evaporated milk; 1 teaspoon vanilla extract; 1/4 teaspoon almond extract; 1 cup chopped fresh figs; 2 cups chopped fresh figs; 1/4 cup packed brown sugar; 1/4 cup water; 1 tablespoon lemon juice | Preheat oven to 350 degrees F (175 degrees C). Spray two 8-inch round cake pans with vegetable oil spray.; In a medium bowl, sift together flour, salt and baking powder. Set aside.; In a large mixing bowl, cream butter with the sugar until fluffy. Add egg and beat well. Add flour mixture alternately with the evaporated milk. Fold in vanilla and almond extracts and 1 cup chopped figs.; Divide into two prepared 8-inch round cake pans. Bake in preheated oven until cake springs back when lightly touched with a fingertip and a toothpick inserted into the center comes out clean, 25 to 30 minutes. Cool cake layers on wire rack.; To make the filling: In a saucepan, combine 2 cups chopped figs, brown sugar, water and lemon juice. Bring to a boil. Reduce heat to a simmer and cook until thickened, about 20 minutes. Spread thinly between cooled cake layers and on top. | Home; Recipes; Desserts; Fruit Desserts; Fig Desserts
Snowballs | 111 | 72 | 4.53846168518066 | 55 m | 1 cup butter; 1/2 cup white sugar; 1 tablespoon vanilla extract; 2 cups sifted all-purpose flour; 3/4 teaspoon salt; 1 cup chopped pecans; 3/4 cup sifted confectioners' sugar | Preheat oven to 325 degrees F (165 degrees C.) Lightly butter 2 baking sheets, or line with parchment paper.; Cream the butter, sugar, and vanilla until light and fluffy. Sift together the flour and salt; mix into the butter mixture. Stir in the pecans. Dust your hands with a little of the confectioners' sugar and roll the dough into 1 inch balls.; Place 2 inches apart on the baking sheets and bake for 25 minutes or just until brown. Put on racks to cool for 15 minutes, then roll in the confectioners sugar. | Home; Recipes; Desserts; Cookies
Chocolate Chip Crispies | 102 | 72 | 4.27472543716431 | 40 m | 1 cup corn syrup; 1 cup white sugar; 1 1/2 cups peanut butter; 8 cups crisp rice cereal; 1 cup semisweet chocolate chips | Butter a 9x13 inch pan.; Pour the sugar, syrup, and peanut butter into a large microwave bowl. Microwave on high until it begins to bubble, two to three minutes. Once the mixture is boiling, remove from the microwave oven, and stir in the cereal and chocolate chips until coated.; Pour the mixture into the prepared pan. Wet hands, sling off the excess water, and press down the treats until smoothed. Let cool, and cut into squares. | Home; Recipes; Desserts; Cookies; No-Bake Cookies
Spider Cupcakes | 83 | 66 | 4.55555534362793 | 1 h 30 m | 1 (18.25 ounce) package chocolate cake mix; 1 pound black shoestring licorice; 1 (16 ounce) can white frosting; 48 pieces candy corn; 48 cinnamon red hot candies; 1/4 cup orange decorator sugar | Prepare cupcakes according to package directions. Let cool completely.; Cut licorice into 3 inch sections. Working with one or two cupcakes at a time, so the frosting doesn't set before decorating, frost the cupcakes with the white frosting. Insert licorice pieces into the outer edges of the cupcakes to make the legs of the spider, 3 legs on each side (4 takes up too much space). Place two pieces of candy corn on the front of the cupcake for fangs and use two red hots as eyes. Sprinkle with decorator sugar. Repeat with remaining cupcakes. | Home; Recipes; Desserts; Chocolate
Grandma's Old Fashioned Tea Cakes | 273 | 80 | 4.55555534362793 | 53 m | 1 cup butter; 1 3/4 cups white sugar; 2 eggs; 3 cups all-purpose flour; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 1/4 teaspoon ground nutmeg; 1 teaspoon vanilla extract | In a medium bowl, cream together the butter and sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking soda, salt and nutmeg; stir into the creamed mixture. Knead dough for a few turnns on a floured board until smooth. Cover and refrigerate until firm.; Preheat the oven to 325 degrees F (165 degrees C). On a lightly floured surface, roll the dough out to 1/4 inch in thickness. Cut into desired shapes with cookie cutters. Place cookies 1 1/2 inches apart onto cookie sheets.; Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. | Home; Recipes; Desserts; Cookies; Sugar Cookies
Victoria Sponge Cake | 147 | 79 | 3.52222228050232 | 1 h 20 m | 1 cup all-purpose flour; 1 1/2 teaspoons baking powder; 1 cup butter, softened; 1 cup confectioners' sugar; 2 eggs, room temperature; 1 teaspoon vanilla extract; 1/2 cup milk, room temperature | Preheat oven to 400 degrees F (200 degrees C). Grease an 8-inch springform pan.; Sift the flour and baking powder into a medium bowl and set aside.; Beat butter and sugar with an electric mixer until light and fluffy. The mixture should be noticeably lighter in color. Add room-temperature eggs one at a time, allowing each egg to blend into butter mixture before adding the next. Beat in vanilla. Pour in the flour mixture alternately with the milk, mixing until just incorporated. Pour batter into prepared pan.; Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 20 minutes. Cool the cake in the pan for 10 minutes, then turn the cake out onto a wire rack to cool completely.; This cake can be served as is, just dusted with confectioners' sugar. Alternately, cut the cake in half horizontally and sandwich the layers together with jam or custard. | Home; Recipes; World Cuisine; European; UK and Ireland; English
High Protein Peanut Butter Balls | 127 | 76 | 4.43333339691162 | 2 h 20 m | 2 cups crunchy peanut butter; 2 scoops cocoa whey protein powder; 2 ripe bananas, mashed; 2 tablespoons flax seeds | In a large bowl, mix together peanut butter, cocoa whey powder, bananas, and flax seed.; Mold the mixture into walnut-size balls, and place them in a container lined with parchment to separate the layers. Freeze at least 2 hours before serving | Home; Recipes; Desserts; Fruit Desserts; Banana Desserts
Apple Hand Pies | 264 | 75 | 4.73333311080933 | 1 h 15 m | 1 pound prepared pie dough, cut into 4 pieces; 2 large green apples, peeled and cored; 2 tablespoons butter; 1/4 teaspoon salt; 1/4 cup white sugar; 2 tablespoons brown sugar; 1 1/2 teaspoons ground cinnamon, or to taste; 1 teaspoon water, or more if needed (optional); 1 egg; 2 teaspoons milk; 1 teaspoon white sugar, or as needed - divided | Line a baking sheet with a silicone mat or parchment paper.; Cut peeled and cored apples into quarters, cut each quarter into 3 wedges, and cut wedges into chunks.; Melt butter in a large skillet over medium heat; let butter brown to a light golden color and until butter smells toasted, about 1 minute. Stir apples into hot butter; sprinkle with salt, white sugar, and brown sugar. Cook and stir apple mixture until apples are softened, about 5 minutes. Mix in cinnamon and water; continue cooking until apples are soft and sticky, 1 to 2 more minutes. Spread apple filling onto a plate to cool.; Preheat oven to 400 degrees F (200 degrees C).; Form a dough piece into a ball, place on a floured work surface, and roll into a circle about 8 inches in diameter. Spoon 1/3 to 1/2 cup apple filling in the center. Fold dough over filling, leaving about 1 inch of dough on the bottom side visible below the top side. Gently press dough closed around filling, using your fingertips.; Fold the overhanging bottom part of the dough up over the top edge, working your way around the crust, and pinch the overhang tightly to the top part of the crust.; Crimp the edge tightly closed, pinching a little bit of dough with the thumb and forefinger of one hand and using your index finger on the other hand to push a small notch into the pinched dough. Continue pinching and notching all the way around until the crust is tightly crimped together. Repeat with remaining dough and filling. Transfer pies onto prepared baking sheet.; Whisk egg with milk in a small bowl until thoroughly combined. Brush top of each hand pie with egg mixture and sprinkle with about 1/4 teaspoon white sugar. Cut 3 small vent holes in the top of each pie.; Bake in the preheated oven until pies are golden brown and filling is bubbling, 25 to 30 minutes. Let cool for at least 15 minutes before serving. | Home; Recipes; Desserts; Pies; Fruit Pies
7 Up® Cake | 627 | 67 | 4.66292142868042 | 1 h 45 m | 3 cups white sugar; 1 1/2 cups butter, softened; 5 eggs; 3 cups all-purpose flour, sifted; 2 tablespoons lemon extract; 1 cup lemon-lime carbonated beverage (such as 7Up®); 1 cup sifted confectioners' sugar; 1/4 cup milk; 1/2 teaspoon vanilla extract | Preheat oven to 325 degrees F (165 degrees C). Generously grease a fluted tube pan (such as Bundt(R)).; Beat white sugar and butter together in a bowl using an electric mixer until creamy and smooth; add eggs, 1 at a time, mixing well after each addition. Stir flour, 1 cup at a time, blending well after each addition until batter is smooth; stir in lemon extract. Mix lemon-lime beverage into batter and pour into the prepared pan.; Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, about 1 hour 15 minutes. Remove cake from pan immediately.; Beat confectioners' sugar, milk, and vanilla extract together in a bowl using an electric mixer on medium until glaze is smooth. Pour glaze over warm cake. | Home; Recipes; Desserts; Cakes; Bundt Cake
Chef John's Strawberry Ice Cream | 500 | 72 | 4.61797761917114 | 2 h 55 m | 12 ounces fresh strawberries, hulled; 3/4 cup white sugar; 2 cups heavy whipping cream; 1 cup milk; 1 teaspoon vanilla extract; 1 tiny pinch salt; 2 drops red food coloring (optional) | Place strawberries and sugar in a blender and pulse until pureed; steep for 10 minutes.; Pour cream, milk, vanilla extract, and salt into strawberry mixture; blend until smooth and slightly thickened, 10 to 15 seconds. Whisk red food color into cream mixture.; Pour strawberry mixture into the container of an ice cream maker and freeze according to the manufacturer's instructions. Transfer ice cream to a sealable container, cover the ice cream with plastic wrap, seal the container, and freeze, 2 hours to overnight.; Process in an ice cream maker until thick. Immediately transfer to a sealable container, cover with plastic wrap, cover the bowl with a lid and freeze for 2 hours to overnight. | Home; Recipes; Desserts; Fruit Desserts; Strawberry Desserts
Chocolate Popcorn | 117 | 72 | 4.56179761886597 | 1 h 45 m | 2 quarts popped popcorn; 1 cup peanuts (optional); 3/4 cup sugar; 1/4 cup corn syrup; 1/4 cup cocoa powder; 1/2 cup butter; 1 teaspoon vanilla | Preheat oven to 250 degrees F (120 degrees C). Oil a 10x15 inch baking pan with sides.; Place popcorn and peanuts into a large, metal bowl, and set aside. Stir together the sugar, corn syrup, cocoa powder, and butter in a saucepan over medium-high heat until it comes to a boil. Boil for 2 minutes. Stir in the vanilla, then pour over the popcorn. Stir until the popcorn is well coated. Spread the popcorn into the prepared pan.; Bake in preheated oven for 30 minutes, stirring several times.; Remove from the oven, and allow to cool to room temperature. Break into small clumps, and store in an airtight container. | Home; Recipes; Desserts; Chocolate
Lavender Shortbread Cookies | 157 | 76 | 4.46067428588867 | 1 h 40 m | 1 1/2 cups butter, softened; 2/3 cup white sugar; 1/4 cup sifted confectioners' sugar; 2 tablespoons finely chopped fresh lavender; 1 tablespoon chopped fresh mint leaves; 1 teaspoon grated lemon zest; 2 1/2 cups all-purpose flour; 1/2 cup cornstarch; 1/4 teaspoon salt | In a medium bowl, cream together the butter, white sugar and confectioners' sugar until light and fluffy. Mix in the lavender, mint and lemon zest. Combine the flour, cornstarch and salt; mix into the batter until well blended. Divide dough into two balls, wrap in plastic wrap and flatten to about 1inch thick. Refrigerate until firm, about 1hour.; Preheat the oven to 325 degrees F (165 degrees C). On a lightly floured surface, roll the dough out to 1/4 inch thickness. Cut into shapes with cookie cutters. Cookie stamps will work well on these too. Place on cookie sheets.; Bake for 18 to 20 minutes in the preheated oven, just until cookies begin to brown at the edges. Cool for a few minutes on the baking sheets then transfer to wire racks to cool completely. | Home; Recipes; Desserts; Cookies; Butter Cookies; Shortbread Cookies
Sugar Free Brownies | 125 | 84 | 3.06666660308838 | 45 m | 1/2 cup margarine; 1/4 cup unsweetened cocoa powder; 2 eggs; 1 cup granular sucrolose sweetener (such as Splenda®); 3/4 cup all-purpose flour; 1/8 teaspoon salt; 1/4 cup skim milk; 1/2 cup chopped walnuts (optional); 1 (1.4 ounce) package sugar free, chocolate fudge flavored instant pudding; 1 cup skim milk | Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 8x8 inch pan.; In a small saucepan over medium heat, melt margarine and cocoa together, stirring occasionally until smooth. Remove from heat and set aside to cool. In a large bowl, beat eggs until frothy. Stir in the sucrolose sweetener. Combine the flour and salt; stir into the egg mixture then mix in the cocoa and margarine. Finally stir in the 1/4 cup of milk and if desired, the walnuts. Pour into the prepared pan.; Bake for 25 to 30 minutes in the preheated oven, until a toothpick inserted into the center, comes out clean. To make frosting, Mix together the sugar free chocolate pudding mix and 1 cup skim milk using an electric mixer. Mix for about two minutes or until thick. Spread over cooled brownies before cutting into squares. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
Italian Almond Cookies II | 122 | 78 | 4.49438190460205 | 35 m | 2 pounds almond paste; 1 cup all-purpose flour; 8 egg whites; 2 cups white sugar; 2 cups confectioners' sugar; 2 cups sliced almonds | Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.; In a large bowl, use your hands to mix together the almond paste, flour, egg whites, white sugar and confectioners' sugar until well blended. The mixture will be very sticky. Place the sliced almonds into a small bowl. Scoop out rounded teaspoonfuls of the dough and drop them into the almonds. Roll until completely coated. Place 2 inches apart onto the prepared cookie sheets.; Bake for 15 to 20 minutes in the preheated oven, until golden brown. Cool on cookie sheets for a few minutes before removing to a wire rack to cool completely. | Home; Recipes; World Cuisine; European; Italian
Streusel Apple Coffeecake | 108 | 70 | 4.49438190460205 | 1 h 30 m | 1 1/2 cups packed light brown sugar; 3/4 cup all-purpose flour; 1/2 cup butter, chilled and diced; 2 teaspoons ground cinnamon; 1 cup chopped walnuts; 3 1/4 cups all-purpose flour; 1 1/2 teaspoons baking powder; 3/4 teaspoon baking soda; 3/4 cup butter, room temperature; 1 1/2 cups white sugar; 3 eggs; 2 teaspoons vanilla extract; 16 ounces plain low-fat yogurt; 2 Granny Smith apples - peeled, cored and finely diced | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a Bundt cake pan.; To make streusel: In a medium bowl, mix brown sugar, 3/4 cup flour, and cinnamon. Cut in the butter with a fork until crumbly. Stir in walnuts.; In a medium bowl, stir together 3 1/4 cups flour, baking powder, and baking soda. In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time, mixing well after each. Then stir in the vanilla and yogurt. Gently stir in the flour mixture just until blended.; Pour 3 cups of the batter into the Bundt pan, sprinkle with 1/4 of the streusel, and layer with apples. Sprinkle with 1/2 the remaining streusel. Pour in the remaining batter, and top with the remaining 1/4 streusel. Lightly pat the top layer of streusel so it sticks to the cake batter.; Bake 50 to 60 minutes in the preheated oven, or until a toothpick inserted in the center comes out clean. Cool in the pan on a wire rack 15 minutes. Place cookie sheet over pan and carefully invert both. Remove Bundt pan, and let the cake cool completely. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Italian Easter Cookies | 119 | 81 | 4.39325857162476 | 30 m | 1/2 cup butter; 3/4 cup white sugar; 3 eggs; 1 teaspoon vanilla extract; 1 teaspoon almond extract; 1/4 cup milk; 1/4 cup vegetable oil; 3 3/4 cups all-purpose flour; 5 teaspoons baking powder; 4 cups confectioners' sugar; 1/2 cup butter, softened; 1 teaspoon vanilla extract; 1 teaspoon almond extract; 3 tablespoons milk; 3 drops red food coloring (optional) | Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.; In a large bowl, cream together 1/2 cup butter and white sugar until light and fluffy. Beat in the eggs one at a time, then stir in 1 teaspoon vanilla and 1 teaspoon almond extract, 1/4 cup milk and oil. Combine the flour and baking powder, stir into the wet mixture. Roll dough into 1 inch balls. On a lightly floured surface, roll the balls out into ropes about 5 inches long. Tie into loose knots and place cookies 1 inch apart onto the prepared cookie sheets.; Bake for 5 minutes on the bottom shelf and 5 minutes on the top shelf of the preheated oven, until the bottoms of the cookies are golden brown. When cookies are cool, dip them into the icing.; To make the icing, cream together the confectioners' sugar, 1/2 cup butter, and 1 teaspoon vanilla and 1 teaspoon almond extracts. Beat in 3 tablespoons milk, one tablespoon at a time, then stir in the food coloring if desired. | Home; Recipes; World Cuisine; European; Italian
Baked Pineapple | 144 | 72 | 4.34831476211548 | 1 h 10 m | 1 (20 ounce) can crushed pineapple, drained; 1 cup white sugar; 2 tablespoons cornstarch; 1/4 cup cold water; 2 eggs; 1 tablespoon vanilla extract; 1 tablespoon butter; 1 teaspoon ground cinnamon | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x9 inch baking dish.; In a mixing bowl, mix together the pineapple, sugar, cornstarch, water, eggs and vanilla. Pour the mixture into the prepared baking dish. Dot the mixture with butter and sprinkle with cinnamon.; Bake in a preheated 350 degrees F (175 degrees C) oven for 1 hour. | Home; Recipes; Desserts; Fruit Desserts; Pineapple Desserts
